species	assembly	provider	provider_subfolder	genome_version	display_name
chara_braunii	Cbr_1.0	ensemblgenomes	plants	ensemblgenomes56	Chara braunii
chenopodium_quinoa	ASM168347v1	ensemblgenomes	plants	ensemblgenomes56	Chenopodium quinoa
chlamydomonas_reinhardtii	Chlamydomonas_reinhardtii_v5.5	ensemblgenomes	plants	ensemblgenomes56	Chlamydomonas reinhardtii
chondrus_crispus	ASM35022v2	ensemblgenomes	plants	ensemblgenomes56	Chondrus crispus
citrullus_lanatus	Cla97_v1	ensemblgenomes	plants	ensemblgenomes56	Citrullus lanatus
citrus_clementina	Citrus_clementina_v1.0	ensemblgenomes	plants	ensemblgenomes56	Citrus clementina
coffea_canephora	AUK_PRJEB4211_v1	ensemblgenomes	plants	ensemblgenomes56	Coffea canephora
corchorus_capsularis	CCACVL1_1.0	ensemblgenomes	plants	ensemblgenomes56	Corchorus capsularis
corylus_avellana	CavTom2PMs-1.0	ensemblgenomes	plants	ensemblgenomes56	Corylus avellana
corymbia_citriodora	Ccitriodora_v2_1	ensemblgenomes	plants	ensemblgenomes56	Corymbia citriodora
cucumis_melo	Melonv4	ensemblgenomes	plants	ensemblgenomes56	Cucumis melo
cucumis_sativus	ASM407v2	ensemblgenomes	plants	ensemblgenomes56	Cucumis sativus
cyanidioschyzon_merolae	ASM9120v1	ensemblgenomes	plants	ensemblgenomes56	Cyanidioschyzon merolae
cynara_cardunculus	CcrdV1	ensemblgenomes	plants	ensemblgenomes56	Cynara cardunculus
daucus_carota	ASM162521v1	ensemblgenomes	plants	ensemblgenomes56	Daucus carota
digitaria_exilis	Fonio_CM05836	ensemblgenomes	plants	ensemblgenomes56	Digitaria exilis
dioscorea_rotundata	TDr96_F1_v2_PseudoChromosome	ensemblgenomes	plants	ensemblgenomes56	Dioscorea rotundata
echinochloa_crusgalli	ec_v3	ensemblgenomes	plants	ensemblgenomes56	Echinochloa crus-galli
eragrostis_curvula	CERZOS_E.curvula1.0	ensemblgenomes	plants	ensemblgenomes56	Eragrostis curvula
eragrostis_tef	ASM97063v1	ensemblgenomes	plants	ensemblgenomes56	Eragrostis tef
eucalyptus_grandis	Egrandis1_0	ensemblgenomes	plants	ensemblgenomes56	Eucalyptus grandis
eutrema_salsugineum	Eutsalg1_0	ensemblgenomes	plants	ensemblgenomes56	Eutrema salsugineum
ficus_carica	UNIPI_FiCari_1.0	ensemblgenomes	plants	ensemblgenomes56	Ficus carica
fraxinus_excelsior	BATG-0.5	ensemblgenomes	plants	ensemblgenomes56	Fraxinus excelsior
galdieria_sulphuraria	ASM34128v1	ensemblgenomes	plants	ensemblgenomes56	Galdieria sulphuraria
glycine_max	Glycine_max_v2.1	ensemblgenomes	plants	ensemblgenomes56	Glycine max
gossypium_raimondii	Graimondii2_0_v6	ensemblgenomes	plants	ensemblgenomes56	Gossypium raimondii
helianthus_annuus	HanXRQr2.0-SUNRISE	ensemblgenomes	plants	ensemblgenomes56	Helianthus annuus
hordeum_vulgare	MorexV3_pseudomolecules_assembly	ensemblgenomes	plants	ensemblgenomes56	Hordeum vulgare
hordeum_vulgare_goldenpromise	GPv1	ensemblgenomes	plants	ensemblgenomes56	Hordeum vulgare GoldenPromise
hordeum_vulgare_tritex	Morex_V2_scaf	ensemblgenomes	plants	ensemblgenomes56	Hordeum vulgare TRITEX
ipomoea_triloba	ASM357664v1	ensemblgenomes	plants	ensemblgenomes56	Ipomoea triloba
juglans_regia	Walnut_2.0	ensemblgenomes	plants	ensemblgenomes56	Juglans regia
kalanchoe_fedtschenkoi	K_fedtschenkoi_M2_v1	ensemblgenomes	plants	ensemblgenomes56	Kalanchoe fedtschenkoi
lactuca_sativa	Lsat_Salinas_v7	ensemblgenomes	plants	ensemblgenomes56	Lactuca sativa
leersia_perrieri	Lperr_V1.4	ensemblgenomes	plants	ensemblgenomes56	Leersia perrieri
lolium_perenne	MPB_Lper_Kyuss_1697	ensemblgenomes	plants	ensemblgenomes56	Lolium perenne
lupinus_angustifolius	LupAngTanjil_v1.0	ensemblgenomes	plants	ensemblgenomes56	Lupinus angustifolius
malus_domestica_golden	ASM211411v1	ensemblgenomes	plants	ensemblgenomes56	Malus domestica Golden
manihot_esculenta	Manihot_esculenta_v6	ensemblgenomes	plants	ensemblgenomes56	Manihot esculenta
marchantia_polymorpha	Marchanta_polymorpha_v1	ensemblgenomes	plants	ensemblgenomes56	Marchantia polymorpha
medicago_truncatula	MedtrA17_4.0	ensemblgenomes	plants	ensemblgenomes56	Medicago truncatula
musa_acuminata	Musa_acuminata_v2	ensemblgenomes	plants	ensemblgenomes56	Musa acuminata
nicotiana_attenuata	NIATTr2	ensemblgenomes	plants	ensemblgenomes56	Nicotiana attenuata
nymphaea_colorata	ASM883128v1	ensemblgenomes	plants	ensemblgenomes56	Nymphaea colorata
olea_europaea	OLEA9	ensemblgenomes	plants	ensemblgenomes56	Olea europaea
olea_europaea_sylvestris	O_europaea_v1	ensemblgenomes	plants	ensemblgenomes56	Olea europaea var. sylvestris
oryza_barthii	O.barthii_v1	ensemblgenomes	plants	ensemblgenomes56	Oryza barthii
oryza_brachyantha	Oryza_brachyantha.v1.4b	ensemblgenomes	plants	ensemblgenomes56	Oryza brachyantha
oryza_glaberrima	Oryza_glaberrima_V1	ensemblgenomes	plants	ensemblgenomes56	Oryza glaberrima
oryza_glumipatula	Oryza_glumaepatula_v1.5	ensemblgenomes	plants	ensemblgenomes56	Oryza glumipatula
oryza_indica	ASM465v1	ensemblgenomes	plants	ensemblgenomes56	Oryza sativa Indica Group
oryza_longistaminata	O_longistaminata_v1.0	ensemblgenomes	plants	ensemblgenomes56	Oryza longistaminata
oryza_meridionalis	Oryza_meridionalis_v1.3	ensemblgenomes	plants	ensemblgenomes56	Oryza meridionalis
oryza_nivara	Oryza_nivara_v1.0	ensemblgenomes	plants	ensemblgenomes56	Oryza nivara
oryza_punctata	Oryza_punctata_v1.2	ensemblgenomes	plants	ensemblgenomes56	Oryza punctata
oryza_rufipogon	OR_W1943	ensemblgenomes	plants	ensemblgenomes56	Oryza rufipogon
oryza_sativa	IRGSP-1.0	ensemblgenomes	plants	ensemblgenomes56	Oryza sativa Japonica Group
ostreococcus_lucimarinus	ASM9206v1	ensemblgenomes	plants	ensemblgenomes56	Ostreococcus lucimarinus
panicum_hallii	PhalliiHAL_v2.1	ensemblgenomes	plants	ensemblgenomes56	Panicum hallii HAL2
panicum_hallii_fil2	PHallii_v3.1	ensemblgenomes	plants	ensemblgenomes56	Panicum hallii FIL2
papaver_somniferum	ASM357369v1	ensemblgenomes	plants	ensemblgenomes56	Papaver somniferum
phaseolus_vulgaris	PhaVulg1_0	ensemblgenomes	plants	ensemblgenomes56	Phaseolus vulgaris
physcomitrium_patens	Phypa_V3	ensemblgenomes	plants	ensemblgenomes56	Physcomitrium patens
pistacia_vera	PisVer_v2	ensemblgenomes	plants	ensemblgenomes56	Pistacia vera
pisum_sativum	Pisum_sativum_v1a	ensemblgenomes	plants	ensemblgenomes56	Pisum sativum
populus_trichocarpa	Pop_tri_v3	ensemblgenomes	plants	ensemblgenomes56	Populus trichocarpa
prunus_avium	PAV_r1.0	ensemblgenomes	plants	ensemblgenomes56	Prunus avium
prunus_dulcis	ALMONDv2	ensemblgenomes	plants	ensemblgenomes56	Prunus dulcis
prunus_persica	Prunus_persica_NCBIv2	ensemblgenomes	plants	ensemblgenomes56	Prunus persica
quercus_lobata	ValleyOak3.0	ensemblgenomes	plants	ensemblgenomes56	Quercus lobata
quercus_suber	CorkOak1.0	ensemblgenomes	plants	ensemblgenomes56	Quercus suber
rosa_chinensis	RchiOBHm-V2	ensemblgenomes	plants	ensemblgenomes56	Rosa chinensis
saccharum_spontaneum	Sspon.HiC_chr_asm	ensemblgenomes	plants	ensemblgenomes56	Saccharum spontaneum
secale_cereale	Rye_Lo7_2018_v1p1p1	ensemblgenomes	plants	ensemblgenomes56	Secale cereale
selaginella_moellendorffii	v1.0	ensemblgenomes	plants	ensemblgenomes56	Selaginella moellendorffii
sesamum_indicum	S_indicum_v1.0	ensemblgenomes	plants	ensemblgenomes56	Sesamum indicum
setaria_italica	Setaria_italica_v2.0	ensemblgenomes	plants	ensemblgenomes56	Setaria italica
setaria_viridis	Setaria_viridis_v2.0	ensemblgenomes	plants	ensemblgenomes56	Setaria viridis
solanum_lycopersicum	SL3.0	ensemblgenomes	plants	ensemblgenomes56	Solanum lycopersicum
solanum_tuberosum	SolTub_3.0	ensemblgenomes	plants	ensemblgenomes56	Solanum tuberosum
solanum_tuberosum_rh8903916	ASM1418947v1	ensemblgenomes	plants	ensemblgenomes56	Solanum tuberosum RH89-039-16
sorghum_bicolor	Sorghum_bicolor_NCBIv3	ensemblgenomes	plants	ensemblgenomes56	Sorghum bicolor
theobroma_cacao	Theobroma_cacao_20110822	ensemblgenomes	plants	ensemblgenomes56	Theobroma cacao Matina 1-6
theobroma_cacao_criollo	Criollo_cocoa_genome_V2	ensemblgenomes	plants	ensemblgenomes56	Theobroma cacao Belizian Criollo B97-61/B2
trifolium_pratense	Trpr	ensemblgenomes	plants	ensemblgenomes56	Trifolium pratense
triticum_aestivum	IWGSC	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum
triticum_aestivum_arinalrfor	PGSBv2.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Arinalrfor
triticum_aestivum_cadenza	EIv1.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Cadenza
triticum_aestivum_claire	EIv1.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Claire
triticum_aestivum_jagger	PGSBv2.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Jagger
triticum_aestivum_julius	PGSBv2.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Julius
triticum_aestivum_kariega	Tae_Kariega_v1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Kariega
triticum_aestivum_lancer	PGSBv2.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Lancer
triticum_aestivum_landmark	PGSBv2.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Landmark
triticum_aestivum_mace	PGSBv2.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Mace
triticum_aestivum_mattis	PGSBv2.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Sy Mattis
triticum_aestivum_norin61	PGSBv2.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Norin61
triticum_aestivum_paragon	EIv1.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Paragon
triticum_aestivum_robigus	EIv1.1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Robigus
triticum_aestivum_stanley	PGSBv2.2	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Stanley
triticum_aestivum_weebil	WeebilV1	ensemblgenomes	plants	ensemblgenomes56	Triticum aestivum Weebill
triticum_dicoccoides	WEWSeq_v.1.0	ensemblgenomes	plants	ensemblgenomes56	Triticum dicoccoides
triticum_spelta	PGSBv2.0	ensemblgenomes	plants	ensemblgenomes56	Triticum spelta
triticum_turgidum	Svevo.v1	ensemblgenomes	plants	ensemblgenomes56	Triticum turgidum
triticum_urartu	IGDB	ensemblgenomes	plants	ensemblgenomes56	Triticum urartu
vigna_angularis	Vigan1.1	ensemblgenomes	plants	ensemblgenomes56	Vigna angularis
vigna_radiata	Vradiata_ver6	ensemblgenomes	plants	ensemblgenomes56	Vigna radiata
vigna_unguiculata	ASM411807v1	ensemblgenomes	plants	ensemblgenomes56	Vigna unguiculata
vitis_vinifera	PN40024.v4	ensemblgenomes	plants	ensemblgenomes56	Vitis vinifera
zea_mays	Zm-B73-REFERENCE-NAM-5.0	ensemblgenomes	plants	ensemblgenomes56	Zea mays
aphanomyces_astaci	GCA000520075v1	ensemblgenomes	fungi	ensemblgenomes56	Aphanomyces astaci
aphanomyces_invadans	GCA000520115v1	ensemblgenomes	fungi	ensemblgenomes56	Aphanomyces invadans
ashbya_gossypii	ASM9102v1	ensemblgenomes	fungi	ensemblgenomes56	Ashbya gossypii
aspergillus_clavatus	ASM271v1	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus clavatus NRRL 1
aspergillus_flavus	JCVI-afl1-v2.0	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus flavus NRRL3357
aspergillus_fumigatus	ASM265v1	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus fumigatus Af293
aspergillus_fumigatusa1163	ASM15014v1	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus fumigatus A1163
aspergillus_nidulans	ASM1142v1	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus nidulans
aspergillus_niger	ASM285v2	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus niger
aspergillus_oryzae	ASM18445v3	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus oryzae RIB40
aspergillus_terreus	ASM14961v1	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus terreus NIH2624
beauveria_bassiana	ASM168263v1	ensemblgenomes	fungi	ensemblgenomes56	Beauveria bassiana
blumeria_graminis	EF2	ensemblgenomes	fungi	ensemblgenomes56	Blumeria graminis
botrytis_cinerea	ASM83294v1	ensemblgenomes	fungi	ensemblgenomes56	Botrytis cinerea B05.10
candida_albicans	GCA000182965v3	ensemblgenomes	fungi	ensemblgenomes56	Candida albicans
candida_auris	GCA002759435v2	ensemblgenomes	fungi	ensemblgenomes56	Candida auris
candida_duobushaemulonis	GCA002926085v1	ensemblgenomes	fungi	ensemblgenomes56	Candida duobushaemulonis
candida_glabrata	GCA000002545v2	ensemblgenomes	fungi	ensemblgenomes56	Candida glabrata
candida_haemuloni	GCA002926055v1	ensemblgenomes	fungi	ensemblgenomes56	[Candida] haemuloni
candida_parapsilosis	GCA000182765v2	ensemblgenomes	fungi	ensemblgenomes56	Candida parapsilosis
candida_pseudohaemulonis	GCA003013735v1	ensemblgenomes	fungi	ensemblgenomes56	[Candida] pseudohaemulonii
candida_tropicalis	GCA000006335v3	ensemblgenomes	fungi	ensemblgenomes56	Candida tropicalis
colletotrichum_gloeosporioides	GCA_000319635.1	ensemblgenomes	fungi	ensemblgenomes56	Colletotrichum gloeosporioides
colletotrichum_graminicola	C_graminicola_M1_001_V1	ensemblgenomes	fungi	ensemblgenomes56	Colletotrichum graminicola
colletotrichum_higginsianum	GCA_000313795.2	ensemblgenomes	fungi	ensemblgenomes56	Colletotrichum higginsianum
colletotrichum_orbiculare	GCA_000350065.1	ensemblgenomes	fungi	ensemblgenomes56	Colletotrichum orbiculare
cryptococcus_neoformans	ASM9104v1	ensemblgenomes	fungi	ensemblgenomes56	Cryptococcus neoformans var. neoformans JEC21
dothistroma_septosporum	GCA_000340195.1	ensemblgenomes	fungi	ensemblgenomes56	Dothistroma septosporum
fusarium_culmorum	EF1	ensemblgenomes	fungi	ensemblgenomes56	Fusarium culmorum UK99
fusarium_fujikuroi	EF1	ensemblgenomes	fungi	ensemblgenomes56	Fusarium fujikuroi
fusarium_graminearum	RR1	ensemblgenomes	fungi	ensemblgenomes56	Fusarium graminearum str. PH-1
fusarium_oxysporum	FO2	ensemblgenomes	fungi	ensemblgenomes56	Fusarium oxysporum
fusarium_pseudograminearum	GCA_000303195.1	ensemblgenomes	fungi	ensemblgenomes56	Fusarium pseudograminearum
fusarium_solani	v2.0	ensemblgenomes	fungi	ensemblgenomes56	Fusarium solani
fusarium_verticillioides	ASM14955v1	ensemblgenomes	fungi	ensemblgenomes56	Fusarium verticillioides
gaeumannomyces_graminis	Gae_graminis_V2	ensemblgenomes	fungi	ensemblgenomes56	Gaeumannomyces tritici R3-111a-1
globisporangium_ultimum	GCA000143045v1	ensemblgenomes	fungi	ensemblgenomes56	Globisporangium ultimum
histoplasma_capsulatum	GCA000170615v1	ensemblgenomes	fungi	ensemblgenomes56	Histoplasma capsulatum
komagataella_pastoris	GCA_000027005.1	ensemblgenomes	fungi	ensemblgenomes56	Komagataella pastoris
leptosphaeria_maculans	ASM23037v1	ensemblgenomes	fungi	ensemblgenomes56	Leptosphaeria maculans
magnaporthe_oryzae	MG8	ensemblgenomes	fungi	ensemblgenomes56	Magnaporthe oryzae
magnaporthe_poae	Mag_poae_ATCC_64411_V1	ensemblgenomes	fungi	ensemblgenomes56	Magnaporthe poae
melampsora_laricipopulina	GCA_000204055.1	ensemblgenomes	fungi	ensemblgenomes56	Melampsora larici-populina
microbotryum_violaceum	GCA_000166175.1	ensemblgenomes	fungi	ensemblgenomes56	Microbotryum violaceum
neosartorya_fischeri	ASM14964v1	ensemblgenomes	fungi	ensemblgenomes56	Aspergillus fischeri NRRL 181
neurospora_crassa	NC12	ensemblgenomes	fungi	ensemblgenomes56	Neurospora crassa
phaeosphaeria_nodorum	ASM14691v1	ensemblgenomes	fungi	ensemblgenomes56	Phaeosphaeria nodorum
phanerochaete_chrysosporium	GCA000167175v1	ensemblgenomes	fungi	ensemblgenomes56	Phanerochaete chrysosporium
puccinia_graminis	ASM14992v1	ensemblgenomes	fungi	ensemblgenomes56	Puccinia graminis
puccinia_graminisug99	v1	ensemblgenomes	fungi	ensemblgenomes56	Puccinia graminis Ug99
puccinia_striiformis	PST-130_1.0	ensemblgenomes	fungi	ensemblgenomes56	Puccinia striiformis f. sp. tritici PST-130 str. Race 130
puccinia_triticina	ASM15152v1	ensemblgenomes	fungi	ensemblgenomes56	Puccinia triticina
pyrenophora_teres	GCA_000166005.1	ensemblgenomes	fungi	ensemblgenomes56	Pyrenophora teres
pyrenophora_triticirepentis	ASM14998v1	ensemblgenomes	fungi	ensemblgenomes56	Pyrenophora tritici-repentis Pt-1C-BFP
pyricularia_oryzae	GCA900474545v2	ensemblgenomes	fungi	ensemblgenomes56	Magnaporthe oryzae
saccharomyces_cerevisiae	R64-1-1	ensemblgenomes	fungi	ensemblgenomes56	Saccharomyces cerevisiae
schizosaccharomyces_cryophilus	GCA_000004155.2	ensemblgenomes	fungi	ensemblgenomes56	Schizosaccharomyces cryophilus
schizosaccharomyces_japonicus	GCA_000149845.2	ensemblgenomes	fungi	ensemblgenomes56	Schizosaccharomyces japonicus
schizosaccharomyces_octosporus	GCA_000150505.2	ensemblgenomes	fungi	ensemblgenomes56	Schizosaccharomyces octosporus
schizosaccharomyces_pombe	ASM294v2	ensemblgenomes	fungi	ensemblgenomes56	Schizosaccharomyces pombe
sclerotinia_sclerotiorum	ASM14694v1	ensemblgenomes	fungi	ensemblgenomes56	Sclerotinia sclerotiorum
sporisorium_reilianum	GCA_000230245.1	ensemblgenomes	fungi	ensemblgenomes56	Sporisorium reilianum
trichoderma_reesei	GCA_000167675.2	ensemblgenomes	fungi	ensemblgenomes56	Trichoderma reesei
trichoderma_virens	ASM17099v1	ensemblgenomes	fungi	ensemblgenomes56	Trichoderma virens
tuber_melanosporum	ASM15164v1	ensemblgenomes	fungi	ensemblgenomes56	Tuber melanosporum
ustilago_maydis	Umaydis521_2.0	ensemblgenomes	fungi	ensemblgenomes56	Ustilago maydis
verticillium_dahliae	ASM15067v2	ensemblgenomes	fungi	ensemblgenomes56	Verticillium dahliae
verticillium_dahliaejr2	VDAG_JR2v.4.0	ensemblgenomes	fungi	ensemblgenomes56	Verticillium dahliae JR2
yarrowia_lipolytica	GCA_000002525.1	ensemblgenomes	fungi	ensemblgenomes56	Yarrowia lipolytica
zymoseptoria_tritici	MG2	ensemblgenomes	fungi	ensemblgenomes56	Zymoseptoria tritici
albugo_laibachii	ENA1	ensemblgenomes	protists	ensemblgenomes56	Albugo laibachii
bigelowiella_natans	Bigna1	ensemblgenomes	protists	ensemblgenomes56	Bigelowiella natans
dictyostelium_discoideum	dicty_2.7	ensemblgenomes	protists	ensemblgenomes56	Dictyostelium discoideum
emiliania_huxleyi	Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0	ensemblgenomes	protists	ensemblgenomes56	Emiliania huxleyi
entamoeba_histolytica	JCVI-ESG2-1.0	ensemblgenomes	protists	ensemblgenomes56	Entamoeba histolytica
giardia_lamblia	GL2	ensemblgenomes	protists	ensemblgenomes56	Giardia lamblia
guillardia_theta	Guith1	ensemblgenomes	protists	ensemblgenomes56	Guillardia theta CCMP2712
hyaloperonospora_arabidopsidis	HyaAraEmoy2_2.0	ensemblgenomes	protists	ensemblgenomes56	Hyaloperonospora arabidopsidis
leishmania_major	ASM272v2	ensemblgenomes	protists	ensemblgenomes56	Leishmania major
paramecium_tetraurelia	ASM16542v1	ensemblgenomes	protists	ensemblgenomes56	Paramecium tetraurelia
phaeodactylum_tricornutum	ASM15095v2	ensemblgenomes	protists	ensemblgenomes56	Phaeodactylum tricornutum
phytophthora_infestans	ASM14294v1	ensemblgenomes	protists	ensemblgenomes56	Phytophthora infestans
phytophthora_kernoviae	PhyKer238_432v1	ensemblgenomes	protists	ensemblgenomes56	Phytophthora kernoviae
phytophthora_lateralis	MPF4_v1.0	ensemblgenomes	protists	ensemblgenomes56	Phytophthora lateralis
phytophthora_parasitica	Phyt_para_P1569_V1	ensemblgenomes	protists	ensemblgenomes56	Phytophthora parasitica
phytophthora_ramorum	ASM14973v1	ensemblgenomes	protists	ensemblgenomes56	Phytophthora ramorum
phytophthora_sojae	P_sojae_V3_0	ensemblgenomes	protists	ensemblgenomes56	Phytophthora sojae
plasmodium_berghei	PBANKA01	ensemblgenomes	protists	ensemblgenomes56	Plasmodium berghei
plasmodium_chabaudi	PCHAS01	ensemblgenomes	protists	ensemblgenomes56	Plasmodium chabaudi
plasmodium_falciparum	ASM276v2	ensemblgenomes	protists	ensemblgenomes56	Plasmodium falciparum 3D7
plasmodium_knowlesi	ASM635v1	ensemblgenomes	protists	ensemblgenomes56	Plasmodium knowlesi
plasmodium_vivax	ASM241v2	ensemblgenomes	protists	ensemblgenomes56	Plasmodium vivax
pseudonitzschia_multistriata	ASM90066040v1	ensemblgenomes	protists	ensemblgenomes56	Pseudo-nitzschia multistriata
pythium_aphanidermatum	pag1_scaffolds_v1	ensemblgenomes	protists	ensemblgenomes56	Pythium aphanidermatum
pythium_arrhenomanes	par_scaffolds_v1	ensemblgenomes	protists	ensemblgenomes56	Pythium arrhenomanes
pythium_irregulare	pir_scaffolds_v1	ensemblgenomes	protists	ensemblgenomes56	Pythium irregulare
pythium_iwayamai	piw_scaffolds_v1	ensemblgenomes	protists	ensemblgenomes56	Pythium iwayamai
pythium_ultimum	pug	ensemblgenomes	protists	ensemblgenomes56	Pythium ultimum
pythium_vexans	pve_scaffolds_v1	ensemblgenomes	protists	ensemblgenomes56	Pythium vexans
tetrahymena_thermophila	JCVI-TTA1-2.2	ensemblgenomes	protists	ensemblgenomes56	Tetrahymena thermophila
thalassiosira_pseudonana	ASM14940v2	ensemblgenomes	protists	ensemblgenomes56	Thalassiosira pseudonana
toxoplasma_gondii	TGA4	ensemblgenomes	protists	ensemblgenomes56	Toxoplasma gondii ME49
trypanosoma_brucei	TryBru_Apr2005_chr11	ensemblgenomes	protists	ensemblgenomes56	Trypanosoma brucei
acanthaster_planci_gca001949145v1	OKI_Apl_1.0	ensemblgenomes	metazoa	ensemblgenomes56	Acanthaster planci (Crown-of-thorns starfish) - GCA_001949145.1
acromyrmex_echinatior_gca000204515v1rs	Aech_3.9	ensemblgenomes	metazoa	ensemblgenomes56	Acromyrmex echinatior (Panamanian leaf-cutter ant) - GCA_000204515.1
acropora_millepora_gca013753865v1	Amil_v2.1	ensemblgenomes	metazoa	ensemblgenomes56	Acropora millepora (Stony coral, JS-1) - GCA_013753865.1
actinia_equina_gca011057435	equina_smartden.arrow4.noredun	ensemblgenomes	metazoa	ensemblgenomes56	Actinia equina (AE1) - GCA_011057435.1
actinia_tenebrosa_gca009602425v1	GCA009602425v1	ensemblgenomes	metazoa	ensemblgenomes56	Actinia tenebrosa (Australian red waratah sea anemone) - GCA_009602425.1
acyrthosiphon_pisum	pea_aphid_22Mar2018_4r6ur	ensemblgenomes	metazoa	ensemblgenomes56	Acyrthosiphon pisum (AL4f)
adineta_vaga	AMS_PRJEB1171_v1	ensemblgenomes	metazoa	ensemblgenomes56	Adineta vaga
aedes_aegypti_lvpagwg	AaegL5	ensemblgenomes	metazoa	ensemblgenomes56	Aedes aegypti (LVP_AGWG)
aedes_albopictus	AaloF1	ensemblgenomes	metazoa	ensemblgenomes56	Aedes albopictus
agrilus_planipennis_gca000699045v2	Apla_2.0	ensemblgenomes	metazoa	ensemblgenomes56	Agrilus planipennis (Emerald ash borer, EAB-ADULT) - GCA_000699045.2
amphibalanus_amphitrite_gca019059575v1	NRLGWU_Aamphi_draft	ensemblgenomes	metazoa	ensemblgenomes56	Amphibalanus amphitrite (Acorn barnacle, SeventyFive) - GCA_019059575.1
amphimedon_queenslandica	Aqu1	ensemblgenomes	metazoa	ensemblgenomes56	Amphimedon queenslandica
anneissia_japonica_gca011630105v1	GCA011630105v1	ensemblgenomes	metazoa	ensemblgenomes56	Anneissia japonica (Sea lily, Jap-2015-1) - GCA_011630105.1
anopheles_albimanus	AalbS2	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles albimanus
anopheles_arabiensis	AaraD1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles arabiensis
anopheles_atroparvus_gca914969975	atroparvus_hifiasm_n225_277Mb	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles atroparvus (EBRE) - GCA_914969975.1
anopheles_christyi	AchrA1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles christyi
anopheles_coluzzii	AcolM1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles coluzzii
anopheles_coluzzii_ngousso	AcolN1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles coluzzii (Ngousso)
anopheles_culicifacies	AculA1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles culicifacies
anopheles_darlingi	AdarC3	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles darlingi
anopheles_dirus	AdirW1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles dirus
anopheles_epiroticus	AepiE1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles epiroticus
anopheles_farauti	AfarF2	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles farauti
anopheles_funestus	AfunF3	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles funestus
anopheles_gambiae	AgamP4	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles gambiae
anopheles_maculatus	AmacM1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles maculatus
anopheles_melas	AmelC2	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles melas
anopheles_merus	AmerM2	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles merus
anopheles_minimus	AminM1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles minimus
anopheles_quadriannulatus	AquaS1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles quadriannulatus
anopheles_sinensis	AsinS2	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles sinensis
anopheles_sinensis_china	AsinC2	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles sinensis (China)
anopheles_stephensi	AsteS1	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles stephensi
anopheles_stephensi_indian	AsteI2	ensemblgenomes	metazoa	ensemblgenomes56	Anopheles stephensi (Indian)
anoplophora_glabripennis	Agla_2.0	ensemblgenomes	metazoa	ensemblgenomes56	Anoplophora glabripennis (ALB-LARVAE)
aphidius_gifuensis_gca014905175v1	GCA014905175v1	ensemblgenomes	metazoa	ensemblgenomes56	Aphidius gifuensis (Parasitoid wasp, YNYX2018) - GCA_014905175.1
apis_dorsata_gca000469605v1rs	Apis_dorsata_1.3	ensemblgenomes	metazoa	ensemblgenomes56	Apis dorsata (Giant honeybee) - GCA_000469605.1
